,lon,lat,angle,norm,pid_sub,pid_over,length,total_vel,vel,trench_vel,slab_vel_abs,slab_flux,slab_age,spreading_rate,slab_thickness,vratio,slab_dip,trench_ID,Name,Type,Class,density,relative_density
1053,-75.6041056739247,-46.21016493498578,0.7480682787628361,100.01825702332351,802.0,201.0,29801.001902339023,0.0220430128707226,0.0220411341077047,0.0056796481939055,0.0280405583743418,321.4374973336592,2.00417339085175,0.0667299559484512,14583.5280418396,1.0,,26,South America,Ocean - Continent,Erosive,3123.6027698532757,-176.39723014672427
1054,-75.6041056739247,-46.21016493498578,0.7480682787628361,100.01825702332351,802.0,201.0,29801.001902339023,0.0220430128707226,0.0220411341077047,0.0056796481939055,0.0280405583743418,321.4374973336592,2.00417339085175,0.0667299559484512,14583.5280418396,1.0,,26,South Chile,Ocean - Continent,Accretionary,3123.6027698532757,-176.39723014672427
1055,-75.5589671488638,-45.91970057674671,7.821501991667339,92.88947427285903,802.0,201.0,35293.71322435536,0.0221528852490373,0.0219467933974129,0.007935021676663,0.0300699016938499,319.72810357940705,2.0,0.0667299883222047,14568.328857421877,1.0,,26,Ecuador,Ocean - Continent,Erosive,3123.3874349730936,-176.6125650269064
1056,-75.5589671488638,-45.91970057674671,7.821501991667339,92.88947427285903,802.0,201.0,35293.71322435536,0.0221528852490373,0.0219467933974129,0.007935021676663,0.0300699016938499,319.72810357940705,2.0,0.0667299883222047,14568.328857421877,1.0,,26,South America,Ocean - Continent,Erosive,3123.3874349730936,-176.6125650269064
1057,-75.5589671488638,-45.91970057674671,7.821501991667339,92.88947427285903,802.0,201.0,35293.71322435536,0.0221528852490373,0.0219467933974129,0.007935021676663,0.0300699016938499,319.72810357940705,2.0,0.0667299883222047,14568.328857421877,1.0,,26,South Chile,Ocean - Continent,Accretionary,3123.3874349730936,-176.6125650269064
1058,-75.57619160933122,-45.65823822893085,21.666126089233455,78.99877437061122,802.0,201.0,23327.16402785983,0.0222485120760343,0.0206766771152924,0.01225893658069,0.0328611801411278,267.93618956736987,1.5823822893084982,0.0667343401645954,12958.377599716188,1.0,,26,Ecuador,Ocean - Continent,Erosive,3097.7178532146045,-202.28214678539553
1059,-75.57619160933122,-45.65823822893085,21.666126089233455,78.99877437061122,802.0,201.0,23327.16402785983,0.0222485120760343,0.0206766771152924,0.01225893658069,0.0328611801411278,267.93618956736987,1.5823822893084982,0.0667343401645954,12958.377599716188,1.0,,26,South America,Ocean - Continent,Erosive,3097.7178532146045,-202.28214678539553
1060,-75.57619160933122,-45.65823822893085,21.666126089233455,78.99877437061122,802.0,201.0,23327.16402785983,0.0222485120760343,0.0206766771152924,0.01225893658069,0.0328611801411278,267.93618956736987,1.5823822893084982,0.0667343401645954,12958.377599716188,1.0,,26,South Chile,Ocean - Continent,Accretionary,3097.7178532146045,-202.28214678539553
1061,-75.67978982263095,-45.36441479270061,6.313831260625213,74.34037042280984,911.0,201.0,19310.80523837226,0.0934628087441964,0.0928959041445158,0.0133787382782189,0.1061753210972132,956.7789495293996,1.0,0.0667404089587804,10299.474000930786,1.0,13.984484481811524,26,Ecuador,Ocean - Continent,Erosive,3037.75209418655,-262.24790581344996
1062,-75.67978982263095,-45.36441479270061,6.313831260625213,74.34037042280984,911.0,201.0,19310.80523837226,0.0934628087441964,0.0928959041445158,0.0133787382782189,0.1061753210972132,956.7789495293996,1.0,0.0667404089587804,10299.474000930786,1.0,13.984484481811524,26,South America,Ocean - Continent,Erosive,3037.75209418655,-262.24790581344996
